1624689017.85488|28.9|21|4.98045|0
1624689032.85174|29|21|5|0
1624689047.85519|29|21|4.960899|0
1624689062.8592|29|21|4.960899|0
1624689077.85614|29|21|4.985337|0
1624689107.70034|29|21|5|0
1624689122.71393|29|21|4.951124|0
1624689137.71443|29|21|4.970675|0
1624689152.71322|29|21|4.965787|0
1624689167.71367|29|21|4.965787|0
1624689182.71469|29|21|4.956012|0
1624689205.86977|28.9|21|4.990225|0
1624689220.87056|29|21|4.970675|0
1624689235.86764|29|21|4.946237|0
1624689250.86739|29|21|4.975562|0
1624689265.8688|29|21|4.965787|0
1624689280.86899|29|21|4.970675|0
1624689295.86133|29|21|5|0
1624689310.86966|29.1|21|4.970675|0
1624689325.87019|29.1|21|4.975562|0
1624689340.87056|29.1|21|4.990225|0
1624689355.87167|29.1|21|4.975562|0
1624689370.8637|29.1|21|5|0
1624689385.86325|29.2|21|5|0
1624689400.86816|29.2|21|4.985337|0
1624689415.86911|29.2|21|4.98045|0
1624689430.86908|29.2|21|4.995112|0
1624689445.87014|29.2|21|4.990225|0
1624689460.87054|29.2|21|4.98045|0
1624689475.87129|29.2|21|4.975562|0
1624689490.86349|29.2|21|5|0
1624689505.86408|29.2|21|5|0
1624689520.86925|29.2|21|4.995112|0
1624689535.86932|29.2|21|4.990225|0
1624689550.87102|29.2|21|4.985337|0
1624689565.86334|29.2|21|5|0
1624689580.87187|29.2|20|4.995112|0
1624689595.8642|29.2|20|5|0
1624689610.86899|29.2|20|4.985337|0
1624689625.86502|29.2|20|5|0
1624689640.86222|29.2|20|5|0
1624689655.8623|29.2|20|5|0
1624689670.86344|29.2|21|5|0
1624689685.869|29.2|21|4.85826|0
1624689700.86893|29.2|21|4.956012|0
1624689715.86118|29.2|21|5|0
1624689730.87049|29.2|21|4.965787|0
1624689745.86696|29.2|20|4.98045|0
1624689760.86826|29.2|20|4.98045|0
1624689775.87204|29.2|20|4.985337|0
1624689790.86916|29.2|20|4.975562|0
1624689805.87047|29.2|20|4.965787|0
1624689820.87037|29.2|20|4.975562|0
1624689835.8639|29.2|20|5|0
1624689850.87216|29.2|21|4.985337|0
1624689865.86834|29.2|21|4.951124|0
1624689880.86967|29.2|21|4.965787|0
